control_id,score,score_rationale,gaps,recommendation
ACH-01,0,No evidence was found regarding SecuraOps' management of cybersecurity risks related to its own third-party suppliers or subcontractors.,"No documented process for identifying or assessing third-party suppliers; No evidence of risk management activities (e.g., due diligence, monitoring, or reviews) for subcontractors; No mention of contractual security requirements for suppliers","Implement a Third-Party Risk Management (TPRM) program to identify, assess, and monitor cybersecurity risks associated with SecuraOps' suppliers and subcontractors."
ACH-02,0,No evidence of explicit security clauses in contracts with SecuraOps' own subcontractors or third-party suppliers was found in the provided graph evidence.,No explicit security clauses in contracts with subcontractors; No documented right-to-audit or security review requirements for subcontractors; No evidence of contractual obligations related to security for Tier-N suppliers,"Include explicit security clauses, right-to-audit provisions, and security review requirements in all contracts with subcontractors and third-party suppliers."
DATA-01,2,"Evidence shows TLS 1.3 is used for communications and encryption, but lacks confirmation of Perfect Forward Secrecy (PFS) activation and HTTP Strict Transport Security (HSTS) implementation.",No evidence of Perfect Forward Secrecy (PFS) activation; No evidence of HTTP Strict Transport Security (HSTS) implementation; No technical details confirming enforcement of TLS 1.3 as minimum version,"Provide documented evidence of PFS activation, HSTS implementation, and explicit confirmation of TLS 1.3 as the minimum enforced version."
DATA-02,3,"Evidence shows encryption at rest is implemented (AES-256, BitLocker, WORM) and key management (Azure Key Vault), but scope (e.g., production-only or all data) is not explicitly defined.","Scope of encryption at rest (all data, production-only, or partial) not specified","Document the explicit scope of encryption at rest (e.g., all data or production-only) to fully meet the control requirements."
DATA-03,0,"No technical evidence of SPF, DKIM, or DMARC configuration for SecuraOps' email domains was found in the provided graph evidence.",Missing SPF record for SecuraOps' email domain; Missing DKIM configuration for SecuraOps' email domain; Missing DMARC policy for SecuraOps' email domain; No evidence of alignment parameters or reporting addresses,"Publish explicit SPF, DKIM, and DMARC records for SecuraOps' email domains in DNS, including alignment parameters and reporting addresses."
ENDP-01,2,"Evidence shows the presence of an EDR solution for workstations and incident detection, but lacks details on centralized management, firewall activation, or coverage for servers.",No evidence of centralized management of protections; No mention of firewall activation on endpoints; No evidence of EDR or antivirus coverage for servers,"Document and provide evidence of centralized management, firewall activation on all endpoints, and protection coverage for servers."
ENDP-02,0,"No evidence related to full-disk encryption (FDE) on workstations, deployment scope, or key management was found in the provided graph.",No evidence of FDE activation on workstations; No evidence of deployment scope (all workstations or partial); No evidence of key recovery management,"Provide documented evidence of FDE implementation on workstations, including deployment scope and key recovery procedures."
ENDP-03,1,"Partial evidence of hardening practices exists (CISO validation for exposed components), but no comprehensive baseline, standards, or scope coverage is documented.","No documented baseline of secure configuration; No reference to hardening standards (CIS, vendor baselines); No evidence of admin rights restriction, device control, or application allowlisting/denylisting; No defined scope (workstations, servers, or all systems)","Document a hardening baseline aligned with industry standards (e.g., CIS) and define scope, admin rights restrictions, and device/application controls."
GOV-01,3,"Evidence shows multiple security-related policies with identified owners and versioning, but no explicit Information Security Policy (ISP) document or documented review cycle is identified.",No explicit Information Security Policy (ISP) document identified; No documented review cycle or frequency for policy updates,"Develop and formally document an overarching Information Security Policy (ISP) with a defined review cycle (e.g., annual review) and ensure it is approved by the CISO or IT Director."
GOV-02,3,"Evidence shows a designated CISO role with formal responsibilities and hierarchical linkage, but lacks documented review cycle or explicit validation of responsibilities.",No explicit documentation of CISO's responsibilities scope; No evidence of formal review cycle for CISO's role effectiveness,Document the CISO's responsibilities in a formal job description and establish a periodic review process for role effectiveness.
GOV-03,2,"Evidence shows structured risk identification and mitigation protocols, but lacks formal documentation of a risk analysis process, frequency, methodology, or a risk register.",No formal risk analysis process documented; No evidence of frequency of risk analysis; No defined methodology for risk analysis; No risk register identified,"Document a formal risk analysis process including methodology, frequency, and maintain a risk register."
IAM-01,0,No valid evidence of MFA implementation for internal users (administrators or standard users) was found in the provided graph data.,"No documented MFA policy or implementation for internal users; No evidence of MFA coverage scope (admin-only, all users, etc.); No evidence of MFA method robustness (e.g., factors used)","Implement and document MFA for all internal users, including administrators, with strong authentication factors (e.g., TOTP, hardware tokens) and define the coverage scope explicitly."
IAM-02,2,"Evidence of a Joiner-Mover-Leaver (JML) process exists but lacks completeness, particularly in automation and rapidity of deprovisioning during leaver events.",No evidence of automated provisioning/deprovisioning for identities; No documented timeline for rapid deactivation of accounts during leaver events; Missing review cycle or validation step for JML process effectiveness,"Implement automated provisioning/deprovisioning tools and define a maximum timeline (e.g., 24 hours) for account deactivation during leaver events."
IAM-03,2,"Evidence of a PAM solution and session recording exists, but scope, review cycles, and emergency access mechanisms are not fully documented or verified.","No documented review cycle for privileged access; No evidence of a break-glass (emergency access) mechanism; Scope of PAM solution not fully defined (e.g., coverage of all critical systems)",Document and implement a break-glass procedure and establish a regular review cycle for privileged access logs and accounts.
